Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,Unnamed: 7,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins,Year
0,120,0,1,0.398,0.073,0.47,0.0,4,3,1,4,1,2010
0,120,1,1,0.001,0.001,0.002,0.0,4,3,1,1,1,2010
0,120,2,1,0.002,0.0,0.002,0.0,4,3,1,4,1,2010
0,120,3,0,0.002,0.0,0.002,0.0,3,3,1,3,1,2010
1,122,0,1,0.659,0.081,0.74,0.0,4,3,1,4,1,2010
1,122,1,1,0.008,0.001,0.009,0.0,2,3,1,1,1,2010
1,122,2,1,0.004,0.0,0.004,0.0,4,3,1,4,1,2010
1,122,3,0,0.004,0.0,0.004,0.0,3,3,1,3,1,2010
2,121,0,1,0.183,0.132,0.315,0.0,3,3,1,4,1,2010
2,121,1,1,0.001,0.001,0.002,0.0,4,3,1,1,1,2010
2,121,2,1,0.001,0.0,0.001,0.0,4,3,1,4,1,2010
2,121,3,0,0.003,0.0,0.003,0.0,3,3,1,3,1,2010
3,119,0,1,0.175,0.121,0.296,0.0,3,3,1,4,1,2010
3,119,1,1,0.001,0.001,0.002,0.0,4,3,1,1,1,2010
3,119,2,1,0.001,0.0,0.001,0.0,4,3,1,4,1,2010
3,119,3,0,0.002,0.0,0.002,0.0,3,3,1,3,1,2010
4,136,0,1,0.268,0.096,0.364,0.0,4,3,1,4,1,2010
4,136,1,1,0.001,0.001,0.001,0.0,4,3,1,1,1,2010
4,136,2,1,0.0,0.0,0.0,0.0,4,3,1,4,1,2010
4,136,3,0,0.002,0.0,0.002,0.0,3,3,1,3,1,2010
5,355,0,1,0.28,0.075,0.354,0.0,3,3,1,4,1,2010
5,355,1,1,0.001,0.001,0.002,0.0,4,3,1,1,1,2010
5,355,2,1,0.002,0.0,0.002,0.0,4,3,1,4,1,2010
5,355,3,0,0.003,0.0,0.003,0.0,3,3,1,3,1,2010
6,83,0,1,0.482,0.057,0.539,0.0,3,3,1,4,1,2010
6,83,1,1,0.07,0.001,0.071,0.0,3,3,1,1,1,2010
6,83,2,1,0.001,0.0,0.001,0.0,4,3,1,3,1,2010
6,83,3,0,0.004,0.0,0.004,0.0,3,3,1,3,1,2010
7,45,0,1,0.547,0.057,0.604,0.0,4,3,1,4,1,2010
7,45,1,1,0.086,0.001,0.087,0.0,4,3,1,1,1,2010
7,45,2,1,0.004,0.0,0.004,0.0,4,3,1,4,1,2010
7,45,3,0,0.003,0.0,0.003,0.0,3,3,1,4,1,2010
8,286,0,1,0.734,0.064,0.797,0.0,4,3,1,4,1,2010
8,286,1,1,0.008,0.001,0.009,0.0,3,3,1,1,1,2010
8,286,2,1,0.001,0.0,0.001,0.0,4,3,1,3,1,2010
8,286,3,0,0.004,0.0,0.004,0.0,3,3,1,4,1,2010
9,21,0,1,0.195,0.072,0.268,0.0,4,3,1,4,1,2010
9,21,1,1,0.036,0.001,0.036,0.0,2,3,1,1,1,2010
9,21,2,1,0.002,0.0,0.002,0.0,4,3,1,4,1,2010
9,21,3,0,0.002,0.0,0.002,0.0,3,3,1,4,1,2010
10,353,0,1,0.193,0.076,0.269,0.0,4,3,1,4,1,2010
10,353,1,1,0.001,0.001,0.002,0.0,3,3,1,1,1,2010
10,353,2,1,0.0,0.0,0.0,0.0,3,3,1,3,1,2010
10,353,3,0,0.002,0.0,0.002,0.0,3,3,1,4,1,2010
11,385,0,1,0.229,0.11,0.339,0.0,4,3,1,4,1,2010
11,385,1,1,0.001,0.001,0.002,0.0,4,3,1,1,1,2010
11,385,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
11,385,3,0,0.002,0.0,0.002,0.0,3,3,1,3,1,2010
12,4,0,1,0.308,0.0,0.308,0.0,3,3,1,3,1,2010
12,4,1,1,0.005,0.0,0.005,0.0,3,3,1,1,1,2010
12,4,2,1,0.001,0.0,0.001,0.0,3,3,1,2,1,2010
12,4,3,0,0.002,0.0,0.002,0.0,3,3,1,3,1,2010
13,364,0,1,0.376,0.082,0.458,0.0,4,3,1,3,1,2010
13,364,1,1,0.02,0.001,0.021,0.0,4,3,1,1,1,2010
13,364,2,1,0.0,0.0,0.0,0.0,4,3,1,2,1,2010
13,364,3,0,0.005,0.0,0.005,0.0,2,3,1,2,1,2010
14,54,0,1,0.461,0.196,0.657,0.0,4,3,1,4,1,2010
14,54,1,1,0.046,0.002,0.048,0.0,4,3,1,1,1,2010
14,54,2,1,0.0,0.0,0.0,0.0,3,3,1,2,1,2010
14,54,3,0,0.003,0.0,0.003,0.0,3,3,1,3,1,2010
15,73,0,1,1.277,0.078,1.355,0.0,4,3,1,4,1,2010
15,73,1,1,0.003,0.001,0.003,0.0,4,3,1,1,1,2010
15,73,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
15,73,3,0,0.007,0.0,0.007,0.0,2,3,1,2,1,2010
16,172,0,1,0.952,0.071,1.023,0.0,3,3,1,3,1,2010
16,172,1,1,0.003,0.001,0.003,0.0,4,3,1,1,1,2010
16,172,2,1,0.0,0.0,0.0,0.0,4,3,1,3,1,2010
16,172,3,0,0.012,0.0,0.012,0.0,2,3,1,1,1,2010
